Year,Entidad federativa,Municipio,GeoCode,Value
2020,Estados Unidos Mexicanos,,0,
2018,Estados Unidos Mexicanos,,0,
2016,Estados Unidos Mexicanos,,0,
2015,Estados Unidos Mexicanos,,0,
2010,Estados Unidos Mexicanos,,0,
2020,Aguascalientes,,1,27.62669287
2018,Aguascalientes,,1,26.2654077
2016,Aguascalientes,,1,28.9464796
2015,Aguascalientes,,1,
2010,Aguascalientes,,1,
2020,Aguascalientes,Aguascalientes,1001,23.68225786
2018,Aguascalientes,Aguascalientes,1001,
2016,Aguascalientes,Aguascalientes,1001,
2015,Aguascalientes,Aguascalientes,1001,26.11294796
2010,Aguascalientes,Aguascalientes,1001,30.22139982
2020,Aguascalientes,Asientos,1002,40.13188119
2018,Aguascalientes,Asientos,1002,
2016,Aguascalientes,Asientos,1002,
2015,Aguascalientes,Asientos,1002,53.98213968
2010,Aguascalientes,Asientos,1002,65.54053429
2020,Aguascalientes,Calvillo,1003,45.75594383
2018,Aguascalientes,Calvillo,1003,
2016,Aguascalientes,Calvillo,1003,
2015,Aguascalientes,Calvillo,1003,56.75511558
2010,Aguascalientes,Calvillo,1003,68.40304559
2020,Aguascalientes,Cosío,1004,37.03918208
2018,Aguascalientes,Cosío,1004,
2016,Aguascalientes,Cosío,1004,
2015,Aguascalientes,Cosío,1004,43.2058884
2010,Aguascalientes,Cosío,1004,54.19929725
2020,Aguascalientes,Jesús María,1005,26.34183564
2018,Aguascalientes,Jesús María,1005,
2016,Aguascalientes,Jesús María,1005,
2015,Aguascalientes,Jesús María,1005,25.03320576
2010,Aguascalientes,Jesús María,1005,42.37757245
2020,Aguascalientes,Pabellón de Arteaga,1006,28.91802014
2018,Aguascalientes,Pabellón de Arteaga,1006,
2016,Aguascalientes,Pabellón de Arteaga,1006,
2015,Aguascalientes,Pabellón de Arteaga,1006,34.92339504
2010,Aguascalientes,Pabellón de Arteaga,1006,51.05652982
2020,Aguascalientes,Rincón de Romos,1007,40.5114188
2018,Aguascalientes,Rincón de Romos,1007,
2016,Aguascalientes,Rincón de Romos,1007,
2015,Aguascalientes,Rincón de Romos,1007,50.07035632
2010,Aguascalientes,Rincón de Romos,1007,51.16959402
