Year,Entidad federativa,"Educación Básica","Educación Media",GeoCode,Value
2021/2022,"Estados Unidos Mexicanos","Total",,00,29.846219064742908
2020/2021,"Estados Unidos Mexicanos","Total",,00,32.7149849204194
2019/2020,"Estados Unidos Mexicanos","Total",,00,35.856010316378715
2018/2019,"Estados Unidos Mexicanos","Total",,00,37.7219270928742
2021/2022,"Aguascalientes","Total",,01,79.70749542961609
2020/2021,"Aguascalientes","Total",,01,72.9953917050691
2019/2020,"Aguascalientes","Total",,01,69.0232558139535
2018/2019,"Aguascalientes","Total",,01,67.22532588454382
2021/2022,"Baja California","Total",,02,75.70052539404551
2020/2021,"Baja California","Total",,02,80.11388523872098
2019/2020,"Baja California","Total",,02,80.77763215377891
2018/2019,"Baja California","Total",,02,78.2303985983355
2021/2022,"Baja California Sur","Total",,03,41.9003115264798
2020/2021,"Baja California Sur","Total",,03,55.95611285266459
2019/2020,"Baja California Sur","Total",,03,56.398104265402814
2018/2019,"Baja California Sur","Total",,03,58.823529411764724
2021/2022,"Campeche","Total",,04,19.4096601073345
2020/2021,"Campeche","Total",,04,24.683544303797493
2019/2020,"Campeche","Total",,04,30.678733031674202
2018/2019,"Campeche","Total",,04,40.2890695573622
2021/2022,"Coahuila de Zaragoza","Total",,05,39.12868091972571
2020/2021,"Coahuila de Zaragoza","Total",,05,45.69696969696971
2019/2020,"Coahuila de Zaragoza","Total",,05,50.02025111381131
2018/2019,"Coahuila de Zaragoza","Total",,05,54.64880227364998
2021/2022,"Colima","Total",,06,43.29268292682931
2020/2021,"Colima","Total",,06,59.29878048780492
2019/2020,"Colima","Total",,06,58.11836115326252
2018/2019,"Colima","Total",,06,56.732223903176994
2021/2022,"Chiapas","Total",,07,5.973391257127342
2020/2021,"Chiapas","Total",,07,8.54151359294636
2019/2020,"Chiapas","Total",,07,9.996338337605268
2018/2019,"Chiapas","Total",,07,13.708325572732404
2021/2022,"Chihuahua","Total",,08,32.1343559904787
2020/2021,"Chihuahua","Total",,08,36.12796469939331
2019/2020,"Chihuahua","Total",,08,35.4865310610225
2018/2019,"Chihuahua","Total",,08,41.7499324871726
2021/2022,"Ciudad de México","Total",,09,62.833099579242585
2020/2021,"Ciudad de México","Total",,09,76.22021744159153
2019/2020,"Ciudad de México","Total",,09,76.8315018315018
2018/2019,"Ciudad de México","Total",,09,84.51759364358682
2021/2022,"Durango","Total",,10,18.877112575193397
2020/2021,"Durango","Total",,10,23.1419411250364
2019/2020,"Durango","Total",,10,22.5834292289988
2018/2019,"Durango","Total",,10,24.775427412344193
2021/2022,"Guanajuato","Total",,11,44.73642044544139
2020/2021,"Guanajuato","Total",,11,41.1320147933751
2019/2020,"Guanajuato","Total",,11,43.391401630174194
2018/2019,"Guanajuato","Total",,11,42.50720461095101
2021/2022,"Guerrero","Total",,12,11.483850834763597
2020/2021,"Guerrero","Total",,12,17.814652473387603
2019/2020,"Guerrero","Total",,12,20.2102620429939
2018/2019,"Guerrero","Total",,12,22.623364338641007
2021/2022,"Hidalgo","Total",,13,23.179532035862696
2020/2021,"Hidalgo","Total",,13,32.2217314487633
2019/2020,"Hidalgo","Total",,13,32.52050543116831
2018/2019,"Hidalgo","Total",,13,28.426171529619804
2021/2022,"Jalisco","Total",,14,55.76824254881809
2020/2021,"Jalisco","Total",,14,40.41736013314561
2019/2020,"Jalisco","Total",,14,44.92642354446581
2018/2019,"Jalisco","Total",,14,48.285129255183016
2021/2022,"México","Total",,15,41.5953208442824
2020/2021,"México","Total",,15,47.42162942825588
2019/2020,"México","Total",,15,50.69379416021111
2018/2019,"México","Total",,15,57.33561058924
2021/2022,"Michoacán de Ocampo","Total",,16,18.807675406474296
2020/2021,"Michoacán de Ocampo","Total",,16,21.568055960361395
2019/2020,"Michoacán de Ocampo","Total",,16,22.592752995524794
2018/2019,"Michoacán de Ocampo","Total",,16,20.483133218982296
2021/2022,"Morelos","Total",,17,59.717514124293785
2020/2021,"Morelos","Total",,17,65.4607122668174
2019/2020,"Morelos","Total",,17,67.99327354260092
2018/2019,"Morelos","Total",,17,69.4177501413228
2021/2022,"Nayarit","Total",,18,23.728813559322003
2020/2021,"Nayarit","Total",,18,32.69336258913881
2019/2020,"Nayarit","Total",,18,34.26183844011139
2018/2019,"Nayarit","Total",,18,30.914127423822706
2021/2022,"Nuevo León","Total",,19,31.29946387541491
2020/2021,"Nuevo León","Total",,19,0.20518081559374
2019/2020,"Nuevo León","Total",,19,49.82088024564992
2018/2019,"Nuevo León","Total",,19,50.3858024691358
2021/2022,"Oaxaca","Total",,20,8.457283343577142
2020/2021,"Oaxaca","Total",,20,11.837930192823999
2019/2020,"Oaxaca","Total",,20,11.753230919288
2018/2019,"Oaxaca","Total",,20,12.956930872240294
2021/2022,"Puebla","Total",,21,29.9365750528541
2020/2021,"Puebla","Total",,21,31.870767494356695
2019/2020,"Puebla","Total",,21,33.4089619965967
2018/2019,"Puebla","Total",,21,32.69940391711611
2021/2022,"Querétaro","Total",,22,38.9201877934272
2020/2021,"Querétaro","Total",,22,44.16826003824089
2019/2020,"Querétaro","Total",,22,39.7964129907901
2018/2019,"Querétaro","Total",,22,39.4468704512373
2021/2022,"Quintana Roo","Total",,23,31.473533619456408
2020/2021,"Quintana Roo","Total",,23,40.7190022010271
2019/2020,"Quintana Roo","Total",,23,49.67177242888398
2018/2019,"Quintana Roo","Total",,23,49.04831625183021
